,gender,path,emotion
0,male,data/CREMA-D\1001_DFA_ANG_XX.wav,angry
1,male,data/CREMA-D\1001_DFA_DIS_XX.wav,disgust
2,male,data/CREMA-D\1001_DFA_FEA_XX.wav,fear
3,male,data/CREMA-D\1001_DFA_HAP_XX.wav,happy
4,male,data/CREMA-D\1001_DFA_NEU_XX.wav,neutral
5,male,data/CREMA-D\1001_DFA_SAD_XX.wav,sad
6,male,data/CREMA-D\1001_IEO_ANG_HI.wav,angry
7,male,data/CREMA-D\1001_IEO_ANG_LO.wav,angry
8,male,data/CREMA-D\1001_IEO_ANG_MD.wav,angry
9,male,data/CREMA-D\1001_IEO_DIS_HI.wav,disgust
10,male,data/CREMA-D\1001_IEO_DIS_LO.wav,disgust
11,male,data/CREMA-D\1001_IEO_DIS_MD.wav,disgust
12,male,data/CREMA-D\1001_IEO_FEA_HI.wav,fear
13,male,data/CREMA-D\1001_IEO_FEA_LO.wav,fear
14,male,data/CREMA-D\1001_IEO_FEA_MD.wav,fear
15,male,data/CREMA-D\1001_IEO_HAP_HI.wav,happy
16,male,data/CREMA-D\1001_IEO_HAP_LO.wav,happy
17,male,data/CREMA-D\1001_IEO_HAP_MD.wav,happy
18,male,data/CREMA-D\1001_IEO_NEU_XX.wav,neutral
19,male,data/CREMA-D\1001_IEO_SAD_HI.wav,sad
20,male,data/CREMA-D\1001_IEO_SAD_LO.wav,sad
21,male,data/CREMA-D\1001_IEO_SAD_MD.wav,sad
22,male,data/CREMA-D\1001_IOM_ANG_XX.wav,angry
23,male,data/CREMA-D\1001_IOM_DIS_XX.wav,disgust
24,male,data/CREMA-D\1001_IOM_FEA_XX.wav,fear
25,male,data/CREMA-D\1001_IOM_HAP_XX.wav,happy
26,male,data/CREMA-D\1001_IOM_NEU_XX.wav,neutral
27,male,data/CREMA-D\1001_IOM_SAD_XX.wav,sad
28,male,data/CREMA-D\1001_ITH_ANG_XX.wav,angry
29,male,data/CREMA-D\1001_ITH_DIS_XX.wav,disgust
30,male,data/CREMA-D\1001_ITH_FEA_XX.wav,fear
31,male,data/CREMA-D\1001_ITH_HAP_XX.wav,happy
32,male,data/CREMA-D\1001_ITH_NEU_XX.wav,neutral
33,male,data/CREMA-D\1001_ITH_SAD_XX.wav,sad
34,male,data/CREMA-D\1001_ITS_ANG_XX.wav,angry
35,male,data/CREMA-D\1001_ITS_DIS_XX.wav,disgust
36,male,data/CREMA-D\1001_ITS_FEA_XX.wav,fear
37,male,data/CREMA-D\1001_ITS_HAP_XX.wav,happy
38,male,data/CREMA-D\1001_ITS_NEU_XX.wav,neutral
39,male,data/CREMA-D\1001_ITS_SAD_XX.wav,sad
40,male,data/CREMA-D\1001_IWL_ANG_XX.wav,angry
